country,population,lat,long,continent,gross_domestic_product_usd(b),tax_revenue_pct,unemployment_rt,primary_education_enrollment_pct,secondary_education_enrollment_pct,life_expectancy,birth_rt,infant_mortality_rt,physicians_per_thousand,covid_death_rt
Afghanistan,38673974,33.93911,67.709953,Asia,19.1014,9.3,11.12,104.0,9.7,64.5,32.49,47.9,0.28,3.82
Albania,2865340,41.153332,20.168331,Europe,15.2781,18.6,12.33,107.0,55.0,78.5,11.78,7.8,1.2,2.12
Algeria,43621542,28.033886,1.659626,Africa,169.9882,37.2,11.7,109.9,51.4,76.7,24.28,20.1,1.72,2.92
Andorra,77230,42.506285,1.521801,Europe,3.1541,69.0,3.7,106.4,97.5,83.8,7.2,2.7,3.33,1.13
Angola,32569069,-11.202692,17.873887,Africa,94.6354,9.2,6.89,113.5,9.3,60.8,40.73,51.6,0.21,2.3
Antigua and Barbuda,97694,17.060816,-61.796428,The Caribean,1.7278,16.5,11.0,105.0,24.8,76.9,15.33,5.0,2.76,0.0
Argentina,45154848,-38.416097,-63.616672,South America,449.6634,10.1,9.79,109.7,90.0,76.5,17.02,8.8,3.96,2.71
Armenia,2961644,40.069099,45.038189,Asia,13.6728,20.9,16.99,92.7,54.6,74.9,13.99,11.0,4.4,1.6
Australia,25695973,-25.274398,133.775136,Australia,1392.6806,23.0,5.27,100.3,113.1,82.7,12.6,3.1,3.68,3.25
Austria,8952532,47.516231,14.550072,Europe,446.3147,25.4,4.67,103.1,85.1,81.6,9.7,2.9,5.17,1.04
Azerbaijan,10100550,40.143105,47.576927,Europe,39.207,13.0,5.51,99.7,27.7,72.9,14.0,19.2,3.45,1.15
Bahamas,392158,25.03428,-77.39628,The Caribean,12.827,14.8,10.36,81.4,15.1,73.8,13.97,8.3,1.94,2.17
Bahrain,1614600,26.0667,50.5577,Asia,38.5741,4.2,0.71,99.4,50.5,77.2,13.99,6.1,0.93,0.38999999999999996
Bangladesh,166347158,23.684994,90.356331,Asia,302.5713,8.8,4.19,116.5,20.6,72.3,18.18,25.1,0.58,1.43
Barbados,287274,13.193887,-59.543198,North America,5.209,27.5,10.33,99.4,65.4,79.1,10.65,11.3,2.48,2.54
Belarus,9457442,53.709807,27.953389,Europe,63.0805,14.7,4.59,100.5,87.4,74.2,9.9,2.6,5.19,0.8500000000000001
Belgium,11547420,50.503887,4.469936,Europe,529.6067,24.0,5.59,103.9,79.7,81.6,10.3,2.9,3.07,2.87
Belize,395536,17.189877,-88.49765,Central America,1.8796,26.3,6.41,111.7,24.7,74.5,20.79,11.2,1.12,2.56
Benin,12031020,9.30769,2.315834,Africa,14.3907,10.8,2.23,122.0,12.3,61.5,36.22,60.5,0.08,1.43
Bhutan,751176,27.514162,90.433601,Asia,2.4467,16.0,2.34,100.1,15.6,71.5,17.26,24.8,0.42,0.0
Bolivia,11626932,-16.290154,-63.588653,South America,40.8953,17.0,3.5,98.2,91.5,71.2,21.75,21.8,1.59,0.0
Bosnia and Herzegovina,3286666,43.915886,17.679076,Europe,20.0478,20.4,18.42,84.4,23.3,77.3,8.11,5.0,2.16,3.0
Botswana,2359104,-22.328474,24.684866,Africa,18.3405,19.5,18.19,103.2,24.9,69.3,24.82,30.0,0.37,0.31
Brazil,212877712,-14.235004,-51.92528,South America,1839.758,14.2,12.08,115.4,51.3,75.7,13.92,12.8,2.15,2.74
Brunei,436268,4.535277,114.727669,Asia,13.4694,18.5,9.12,103.2,31.4,75.7,14.9,9.8,1.61,0.0
Bulgaria,6951321,42.733883,25.48583,Europe,86.0,20.2,4.34,89.3,71.0,74.9,8.9,5.9,4.03,2.68
Burkina Faso,20736852,12.238333,-1.561593,Africa,15.7458,15.0,6.26,96.1,6.5,61.2,37.93,49.0,0.08,2.36
Burundi,11787905,-3.373056,29.918886,Africa,3.0123,13.6,1.43,121.4,6.1,61.2,39.01,41.0,0.1,0.15
Ivory Coast,26188778,7.539989,-5.54708,Africa,58.7922,11.8,3.32,99.8,9.3,57.4,35.74,59.4,0.23,0.0
Cape Verde,483628,16.5388,-23.0418,Africa,1.9818,20.1,12.25,104.0,23.6,72.8,19.49,16.7,0.77,0.65
Cambodia,16651996,12.565679,104.990963,Asia,27.0894,17.1,0.68,107.4,13.7,69.6,22.46,24.0,0.17,0.0
Cameroon,26354128,7.369722,12.354722,Africa,38.7605,12.8,3.38,103.4,12.8,58.9,35.39,50.6,0.09,1.7999999999999998
Canada,37436962,56.130366,-106.346771,North America,1736.4256,12.8,5.56,100.9,68.9,81.9,10.1,4.3,2.61,3.25
Central African Republic,4805444,6.611111,20.939444,Africa,2.2203,8.6,3.68,102.0,3.0,52.8,35.35,84.5,0.06,1.28
Chad,16288987,15.454166,18.732207,Africa,11.315,13.08,1.89,86.8,3.3,54.0,42.17,71.4,0.04,5.9799999999999995
Chile,19068771,-35.675147,-71.542969,South America,282.3182,18.2,7.09,101.4,88.5,80.0,12.43,6.2,2.59,2.79
China,1419684895,35.86166,104.195397,Asia,19910.0,9.4,4.32,100.2,50.6,77.0,10.9,7.4,1.98,5.08
Colombia,50726056,4.570868,-74.297333,South America,323.8028,14.4,9.71,114.5,55.3,77.1,14.88,12.2,2.18,2.8000000000000003
Comoros,864231,-11.6455,43.3333,Africa,1.1857,14.22,4.34,99.5,9.0,64.1,31.88,51.3,0.27,1.15
Congo,5478684,-0.228021,15.827659,Africa,10.8206,9.0,9.47,106.6,12.7,64.3,32.86,36.2,0.12,1.63
Costa Rica,5080672,9.748917,-83.753428,North America,61.7739,13.6,11.85,113.3,55.2,80.1,13.97,7.6,2.89,1.23
Croatia,4081118,45.1,15.2,Europe,60.4156,22.0,6.93,96.5,67.9,78.1,9.0,4.0,3.0,1.35
Cuba,11328609,21.521757,-77.781167,North America,100.023,58.1,1.64,101.9,41.4,78.7,10.17,3.7,8.42,1.63
Cyprus,1204820,35.126413,33.429859,Europe,24.5646,24.5,7.27,99.3,75.9,80.8,10.46,1.9,1.95,0.45999999999999996
Czech Republic,10693500,49.817492,15.472962,Europe,246.4892,14.9,1.93,100.7,64.1,79.0,10.7,2.7,4.12,0.0
Congo,46183714,-4.038333,21.758664,Africa,47.3196,10.7,4.24,108.0,6.6,60.4,41.18,68.2,0.07,1.63
Denmark,5809654,56.26392,9.501785,Europe,348.078,32.4,4.91,101.3,80.6,81.0,10.6,3.6,4.01,1.04
Djibouti,983842,11.825138,42.590275,Africa,3.3187,18.95,10.3,75.3,5.3,66.6,21.47,49.8,0.22,1.0699999999999998
Dominica,71934,15.414999,-61.370976,North America,0.596,22.1,11.0,114.7,7.2,76.6,12.0,32.9,1.08,0.0
Dominican Republic,10816488,18.735693,-70.162651,North America,88.9413,13.0,5.84,105.7,59.9,73.9,19.51,24.1,1.56,1.6199999999999999
Ecuador,17565513,-1.831239,-78.183406,South America,107.4357,13.0,3.97,103.3,44.9,76.8,19.72,12.2,2.04,6.99
Egypt,101775306,26.820553,30.802498,Africa,303.1751,12.5,10.76,106.3,35.2,71.8,26.38,18.1,0.45,5.74
El Salvador,6476756,13.794185,-88.89653,Central America,27.0226,18.1,4.11,94.8,29.4,73.1,18.25,11.8,1.57,2.9000000000000004
Equatorial Guinea,1389590,1.650801,10.267895,Africa,11.0268,6.1,6.43,61.8,1.9,58.4,33.24,62.6,0.4,1.6500000000000001
Eritrea,4950229,15.179384,39.782334,Africa,2.065,34.9,5.14,68.4,3.4,65.9,30.3,31.3,0.06,0.0
Estonia,1329366,58.595272,25.013607,Europe,31.3869,20.9,5.11,97.2,69.6,78.2,10.9,2.1,4.48,0.9299999999999999
Eswatini,1129262,-26.522503,31.465866,Africa,3.7913,28.6,37.64,89.5,86.0,60.7,22.3,36.7,0.14,0.0
Ethiopia,114138109,9.145,40.489673,Africa,96.1077,7.5,2.08,101.0,8.1,66.2,32.34,39.1,0.08,1.55
Fiji,894578,-17.713371,178.065032,Oceana,5.5355,24.2,4.1,106.4,16.1,67.3,21.28,21.6,0.84,4.760000000000001
Finland,5532318,61.92411,25.748151,Europe,268.7612,20.8,6.59,100.2,88.2,81.7,8.6,1.4,3.81,1.6
France,66196946,46.227638,2.213749,Europe,2715.5183,24.2,8.43,102.5,65.6,82.5,11.3,3.4,3.27,2.3800000000000003
Gabon,2210514,-0.803689,11.609444,Africa,16.658,10.2,20.0,139.9,8.3,66.2,31.61,32.7,0.68,0.64
Gambia,2396973,13.443182,-15.310139,Africa,1.7638,9.4,9.06,98.0,2.7,61.7,38.54,39.0,0.1,3.29
Georgia,3853180,42.315407,43.356892,Europe,17.7432,21.7,14.4,98.6,63.9,73.6,13.47,8.7,7.12,0.9299999999999999
Germany,83514562,51.165691,10.451526,Europe,3845.63,11.5,3.04,104.0,70.2,80.9,9.5,3.1,4.25,1.54
Ghana,31072478,7.946527,-1.023194,Africa,66.9836,12.6,4.33,104.8,15.7,63.8,29.41,34.9,0.14,0.63
Greece,10559136,39.074208,21.824312,Europe,209.8528,26.2,17.24,99.6,136.6,81.3,8.1,3.6,5.48,2.23
Grenada,112372,12.1165,-61.679,North America,1.2282,19.4,24.0,106.9,104.6,72.4,16.47,13.7,1.41,0.0
Guatemala,17330925,15.783471,-90.230759,North America,76.7104,10.6,2.46,101.9,21.8,74.1,24.56,22.1,0.35,3.42
Guinea,13029492,9.945587,-9.696645,Africa,13.5903,10.8,4.3,91.5,11.6,61.2,36.36,64.9,0.08,0.58
Guinea-Bissau,1954523,11.803749,-15.180413,Africa,1.3404,10.3,2.47,118.7,2.6,58.0,35.13,54.0,0.13,1.78
Guyana,785457,4.860416,-58.93018,South America,4.2804,15.37,11.85,97.8,11.6,69.8,19.97,25.1,0.8,2.79
Haiti,11362356,18.971187,-72.285215,North America,8.499,6.24,13.78,113.6,1.1,63.7,24.35,49.5,0.23,2.5100000000000002
Honduras,9859043,15.199999,-86.241905,Central America,25.0954,17.3,5.39,91.5,26.2,75.1,21.6,15.1,0.31,2.7
Hungary,9710048,47.162494,19.503304,Europe,160.9672,23.0,3.4,100.8,48.5,75.8,9.6,3.6,3.41,2.22
Iceland,351745,64.963051,-19.020835,Europe,24.188,23.3,2.84,100.4,71.8,82.7,12.0,1.5,4.08,0.48
India,1376085842,20.593684,78.96288,Asia,2611.0,11.2,5.36,113.0,28.1,69.4,17.86,29.9,0.86,1.4500000000000002
Indonesia,272477293,-0.789275,113.921327,Asia,1119.1908,10.2,4.69,106.4,36.3,71.5,18.07,21.1,0.43,3.1399999999999997
Iran,83682240,32.427908,53.688046,Asia,445.3453,7.4,11.38,110.7,68.1,76.5,18.78,12.4,1.58,0.0
Iraq,39961060,33.223191,43.679291,Asia,234.094,2.0,12.82,108.7,16.2,70.5,29.08,22.5,0.71,2.22
Ireland,4984138,53.41291,-8.24389,Europe,388.6987,18.3,4.93,100.9,77.8,82.3,12.5,3.1,3.31,2.8400000000000003
Israel,8883351,31.046051,34.851612,Asia,395.0987,23.1,3.86,104.9,63.4,82.8,20.8,3.0,4.62,0.8500000000000001
Italy,60361087,41.87194,12.56738,Europe,2001.2444,24.3,9.89,101.9,61.9,82.9,7.3,2.6,3.98,3.46
Jamaica,2957440,18.109581,-77.297508,The Caribean,16.4581,26.8,8.0,91.0,27.1,74.4,16.1,12.4,1.31,2.39
Japan,126271030,36.204824,138.252924,Asia,5081.7695,11.9,2.29,98.8,63.2,84.2,7.4,1.8,2.41,1.44
Jordan,10173882,30.585164,36.238414,Asia,43.7437,15.1,14.72,81.5,34.4,74.4,21.98,13.9,2.32,1.25
Kazakhstan,18693066,48.019573,66.923684,Asia,180.1617,11.7,4.59,104.4,61.7,73.2,21.77,8.8,3.25,1.43
Kenya,53428295,-0.023559,37.906193,Africa,95.5031,15.1,2.64,103.2,11.5,66.3,28.75,30.6,0.16,1.76
Kiribati,118919,1.8368976,-157.3768317,Oceana,0.1946,22.0,8.6,101.3,81.6,68.1,27.89,41.2,0.2,0.0
Kuwait,4252312,29.31166,47.481766,Asia,134.7612,1.4,2.18,92.4,54.4,75.4,13.94,6.7,2.58,0.62
Kyrgyzstan,6513636,41.20438,74.766098,Asia,8.4546,18.0,6.33,107.6,41.3,71.4,27.1,16.9,1.88,1.7500000000000002
Laos,7245086,19.85627,102.495496,Asia,18.1738,12.9,0.63,102.4,15.0,67.6,23.55,37.6,0.37,0.0
Latvia,1895200,56.879635,24.603189,Europe,34.1172,22.9,6.52,99.4,88.1,74.7,10.0,3.3,3.19,1.16
Lebanon,6834225,33.854721,35.862285,Asia,53.367,15.3,6.23,95.1,26.3,78.9,17.55,6.4,2.1,0.8
Lesotho,2137355,-29.609988,28.233608,South America,2.4601,31.6,23.41,120.9,10.2,53.7,26.81,65.7,0.07,2.09
Liberia,5023300,6.428055,-9.429499,Africa,3.0705,12.9,2.81,85.1,11.9,63.7,33.04,53.5,0.04,5.19
Libya,6844328,26.3351,17.228331,Africa,52.0763,51.6,18.56,109.0,60.5,72.7,18.83,10.2,2.09,1.43
Liechtenstein,38096,47.1410392,9.520935,Europe,6.5529,52.3,2.4,104.7,35.6,83.0,9.9,3.9,2.5,1.18
Lithuania,2746778,55.169438,23.881275,Europe,54.2193,16.9,6.35,103.9,72.4,75.7,10.0,3.3,6.35,0.83
Luxembourg,637872,49.815273,6.129583,Europe,71.1049,26.5,5.36,102.3,19.2,82.1,10.3,1.9,3.01,0.8999999999999999
Madagascar,27485041,-18.766947,46.869107,Africa,14.0839,10.2,1.76,142.5,5.4,66.7,32.66,38.2,0.18,1.4500000000000002
Malawi,18986920,-13.254308,34.301525,Africa,7.6667,17.3,5.65,142.5,0.8,63.8,34.12,35.3,0.04,3.0700000000000003
Malaysia,32495166,4.210484,101.975766,Asia,364.7015,12.0,3.32,105.3,45.1,76.0,16.75,6.7,1.51,0.5499999999999999
Maldives,537794,3.202778,73.22068,Asia,5.7292,19.5,6.14,97.1,31.2,78.6,14.2,7.4,4.56,0.35000000000000003
Mali,20081951,17.570692,-3.996166,Africa,17.5101,11.6,7.22,75.6,4.5,58.9,41.54,62.0,0.13,3.2399999999999998
Malta,472345,35.937496,14.375416,Europe,14.7862,26.2,3.47,105.0,54.3,82.3,9.2,6.1,2.86,1.35
Marshall Islands,59075,7.131474,171.184478,Oceana,0.2213,17.8,9.8,84.7,23.7,65.2,29.03,27.4,0.42,0.0
Mauritania,4614294,21.00789,-10.940835,Africa,7.5938,27.4,9.55,99.9,5.0,64.7,33.69,51.5,0.19,2.04
Mauritius,1269182,-20.348404,57.552152,Africa,14.1804,19.1,6.67,101.1,40.6,74.4,10.2,13.6,2.53,1.9800000000000002
Mexico,127761435,23.634501,-102.552784,North America,1258.2867,13.1,3.42,105.8,40.2,75.0,17.6,11.0,2.38,9.54
Micronesia,332516,7.425554,150.550812,Oceana,0.4019,25.2,8.9,97.2,14.1,67.8,22.82,25.6,0.18,0.0
Moldova,3343844,47.411631,28.369885,Europe,11.9554,17.7,5.47,90.6,39.8,71.8,10.1,13.6,3.21,0.0
Monaco,39162,43.7384176,7.4246158,Europe,7.1848,14.4,6.3,97.9,154.2,89.8,5.9,2.6,6.56,0.49
Mongolia,3263050,46.862496,103.846656,Asia,13.8529,16.8,6.01,104.0,65.6,69.7,24.13,14.0,2.86,0.0
Montenegro,625118,42.708678,19.37439,Europe,5.4947,37.2,14.88,100.0,56.1,76.8,11.73,2.3,2.76,1.4000000000000001
Morocco,37003787,31.791702,-7.09262,Africa,118.7253,21.9,9.02,113.9,35.9,76.5,18.94,19.2,0.73,1.6400000000000001
Mozambique,31001982,-18.665695,35.529562,Africa,14.9342,0.0,3.24,112.6,7.3,60.2,37.52,54.0,0.08,0.83
Myanmar,54304742,21.916221,95.955974,Asia,76.0859,5.4,1.58,112.3,18.8,66.9,17.55,36.8,0.68,2.1399999999999997
Namibia,2527616,-22.95764,18.49041,Africa,12.3665,27.1,20.27,124.2,22.9,63.4,28.64,29.0,0.42,1.06
Nauru,10468,-0.522778,166.931503,Oceana,0.133,44.3,5.1,96.3,86.4,68.6,20.2,7.6,1.35,0.0
Nepal,28985473,28.394857,84.124008,Asia,30.6414,20.7,1.41,142.1,12.4,70.5,19.89,26.7,0.75,0.65
Netherlands,17332850,52.132633,5.291266,Europe,909.0704,23.0,3.2,104.2,85.0,81.8,9.7,3.3,3.61,0.27999999999999997
New Zealand,4839917,-40.900557,174.885971,Oceana,206.9288,29.0,4.07,100.0,82.0,81.9,11.98,4.7,3.59,1.47
Nicaragua,6601826,12.865416,-85.207229,Central America,12.5209,15.6,6.84,120.6,17.4,74.3,20.64,15.7,0.98,3.46
Niger,23952559,17.607789,8.081666,Africa,12.9281,11.8,0.47,74.7,4.4,62.0,46.08,48.0,0.04,4.65
Nigeria,204659654,9.081999,8.675277,Africa,448.1204,1.5,8.1,84.7,10.2,54.3,37.91,75.7,0.38,1.7399999999999998
North Korea,25666161,40.339852,127.510093,Asia,32.1,0.0,2.74,112.8,27.0,72.1,13.89,13.7,3.67,0.0
Norway,5393548,60.472024,8.468946,Europe,403.3364,23.9,3.35,100.3,82.0,82.8,10.4,2.1,2.92,0.9400000000000001
Oman,5214835,21.4735329,55.975413,Asia,76.9831,2.5,2.67,103.4,38.0,77.6,19.19,9.8,2.0,1.15
Pakistan,219653408,30.375321,69.345116,Asia,304.4,9.2,4.45,94.3,9.0,67.1,28.25,57.2,0.98,2.02
Palau,18182,7.51498,134.58252,Oceana,0.284,21.3,1.7,112.6,54.7,69.1,14.0,16.6,1.18,0.0
Panama,4295164,8.537981,-80.782127,Central America,66.8008,7.5,3.9,94.4,47.8,78.3,18.98,13.1,1.57,1.8599999999999999
Papua New Guinea,12963477,-6.314993,143.95555,Oceana,24.9696,13.6,2.46,108.5,1.8,64.3,27.07,38.0,0.07,1.0699999999999998
Paraguay,7107292,-23.442503,-58.443832,South America,38.1453,10.0,4.81,104.4,34.6,74.1,20.57,17.2,1.35,2.13
Peru,32839470,-9.189967,-75.015152,South America,226.8481,14.3,3.31,106.9,70.7,76.5,17.95,11.1,1.27,3.73
Philippines,109160760,12.879721,121.774017,Asia,376.7955,14.0,2.15,107.5,35.5,71.1,20.55,22.5,0.6,1.94
Poland,37900066,51.919438,19.145136,Europe,592.1644,17.4,3.47,100.0,67.8,77.6,10.2,3.8,2.38,1.73
Portugal,10226856,39.399872,-8.224454,Europe,237.6861,22.8,6.33,106.2,63.9,81.3,8.5,3.1,5.12,1.5
Qatar,2867022,25.354826,51.183884,Asia,183.4662,14.7,0.09,103.8,17.9,80.1,9.54,5.8,2.49,0.16999999999999998
Romania,19270476,45.943161,24.96676,Europe,250.0774,14.6,3.98,85.2,49.4,75.4,9.6,6.1,2.98,2.37
Russia,145167128,61.52401,105.318756,Europe,1699.8766,11.4,4.59,102.6,81.9,72.7,11.5,6.1,4.01,0.0
Rwanda,12859465,-1.940278,29.873888,Africa,10.1225,14.3,1.03,133.0,6.7,68.7,31.7,27.0,0.13,0.83
Saint Kitts and Nevis,52823,17.357822,-62.782998,North America,1.051,18.5,5.09,108.7,86.7,71.3,12.6,9.8,2.52,0.0
Saint Lucia,183386,13.909444,-60.978893,North America,2.1225,18.2,20.71,102.6,14.1,76.1,12.0,14.9,0.64,0.7799999999999999
Saint Vincent and the Grenadines,105772,12.984305,-61.287228,North America,0.8254,25.4,18.88,113.4,23.7,72.4,14.24,14.8,0.66,0.0
Samoa,200739,-13.759029,-172.104629,Oceana,0.8507,25.5,8.36,110.5,7.6,73.2,24.38,13.6,0.34,0.0
San Marino,33910,43.94236,12.457777,Europe,1.6379,18.1,8.1,108.1,42.5,85.4,6.8,1.7,6.11,2.8000000000000003
Sao Tome and Principe,217985,0.203237,6.608357,Africa,0.429,14.6,13.37,106.8,13.4,70.2,31.54,24.4,0.05,1.72
Saudi Arabia,34657576,23.885942,45.079162,Asia,792.9668,8.9,5.93,99.8,68.0,75.0,17.8,6.0,2.61,1.6500000000000001
Senegal,16616426,14.497401,-14.452362,Africa,23.5781,16.3,6.6,81.0,12.8,67.7,34.52,31.8,0.07,2.07
Serbia,7833836,44.016521,21.005859,Europe,51.4092,18.6,12.69,100.3,67.2,75.5,9.2,4.8,3.11,0.9199999999999999
Seychelles,98115,-4.679574,55.491977,Africa,1.6988,34.1,3.0,100.4,17.1,72.8,17.1,12.4,0.95,0.0
Sierra Leone,7930173,8.460555,-11.779889,Africa,3.9415,8.6,4.43,112.8,2.0,54.3,33.41,78.5,0.03,3.0700000000000003
Singapore,5786719,1.352083,103.819836,Asia,372.0625,13.1,4.11,100.6,84.8,83.1,8.8,2.3,2.29,0.05
Slovakia,5457412,48.669026,19.699024,Europe,105.4223,18.7,5.56,98.7,46.6,77.2,10.6,4.6,3.42,0.77
Slovenia,2083502,46.151241,14.995463,Europe,53.7422,18.6,4.2,100.4,78.6,81.0,9.4,1.7,3.09,1.23
Solomon Islands,682020,-9.64571,160.156194,Oceana,1.4251,29.5,0.58,106.2,48.3,72.8,32.44,17.1,0.19,0.0
Somalia,15765082,5.152149,46.199616,Africa,4.7207,0.0,11.35,23.4,2.5,57.1,41.75,76.6,0.02,2.54
South Africa,59093330,-30.559482,22.937506,Africa,351.4316,27.5,28.18,100.9,22.4,63.9,20.51,28.5,0.91,2.73
South Korea,51709098,35.907757,127.766922,Asia,2029.0,15.6,4.15,98.1,94.3,82.6,6.4,2.7,2.36,0.13999999999999999
South Sudan,11155937,6.8769919,31.3069788,Africa,11.9978,8.5,12.24,73.0,11.2,57.6,35.01,63.7,0.04,1.96
Spain,46919581,40.463667,-3.74922,Europe,1394.1163,14.2,13.96,102.7,88.9,83.3,7.9,2.5,3.87,2.74
Sri Lanka,21627078,7.873054,80.771797,Asia,84.0088,11.9,4.2,100.2,19.6,76.8,15.83,6.4,1.0,0.49
Sudan,43553714,12.862807,30.217636,Africa,18.9023,8.0,16.53,76.8,16.9,65.1,32.18,42.1,0.26,7.01
Suriname,585120,3.919305,-56.027783,South America,3.9853,19.5,7.33,108.8,12.6,71.6,18.54,16.9,1.21,2.1999999999999997
Sweden,10205698,60.128161,18.643501,Europe,530.8329,27.9,6.48,126.6,67.0,82.5,11.4,2.2,3.98,2.75
Switzerland,8628155,46.818188,8.227512,Europe,703.0824,10.1,4.58,105.2,59.6,83.6,10.0,3.7,4.3,1.34
Syria,17377940,34.802075,38.996815,Asia,40.405,14.2,8.37,81.7,40.1,71.8,23.69,14.0,1.22,0.0
Tajikistan,9475834,38.861034,71.276093,Asia,8.1166,9.8,11.02,100.9,31.3,70.9,30.76,30.4,1.7,0.7100000000000001
Tanzania,59242640,-6.369028,34.888822,Africa,63.1771,11.5,1.98,94.2,4.0,65.0,36.7,37.6,0.01,0.0
Thailand,69749678,15.870032,100.992541,Asia,543.65,14.9,0.75,99.8,49.3,76.9,10.34,7.8,0.81,1.5
East Timor,3500000,-8.874217,125.727539,Asia,1.6735,25.0,4.55,115.3,17.8,69.3,29.42,39.3,0.72,0.0
Togo,8222729,8.619543,0.824782,Africa,5.46,16.9,2.04,123.8,14.5,60.8,33.11,47.4,0.08,2.17
Tonga,103208,-21.178986,-175.198242,Oceana,0.4504,22.3,1.12,116.3,6.4,70.8,24.3,13.4,0.52,0.0
Trinidad and Tobago,1394973,10.691803,-61.222503,North America,24.1002,19.5,2.69,106.2,12.0,73.4,12.94,16.4,4.17,0.0
Tunisia,11694719,33.886917,9.537499,Africa,38.7977,21.1,16.02,115.4,31.7,76.5,17.56,14.6,1.3,3.37
Turkey,84077912,38.963745,35.243322,Asia,754.4117,17.9,13.49,93.2,23.9,77.4,16.03,9.1,1.85,2.74
Turkmenistan,6005666,38.969719,59.556278,Asia,40.7611,14.9,3.91,88.4,8.0,68.1,23.83,39.3,2.22,0.0
Tuvalu,11750,-7.109535,177.64933,Oceana,0.0473,18.5,11.0,86.0,91.3,69.0,22.0,20.6,0.92,0.0
Uganda,45323336,1.373333,32.290275,Africa,34.3872,11.7,1.84,102.7,4.8,63.0,38.14,33.8,0.17,1.0
Ukraine,44004808,48.379433,31.16558,Europe,153.7811,20.1,8.88,99.0,82.7,71.6,8.7,7.5,2.99,1.68
United Arab Emirates,9855999,23.424076,53.847818,Asia,421.1423,0.1,2.35,108.4,36.8,77.8,10.33,6.5,2.53,0.33999999999999997
United Kingdom,67435630,55.378051,-3.435973,Europe,2827.1132,25.5,3.85,101.2,60.0,81.3,11.0,3.6,2.81,0.0
United States,330032268,37.09024,-95.712891,North America,21427.7,9.6,14.7,101.8,88.2,78.5,11.6,5.6,2.61,0.0
Uruguay,3470272,-32.522779,-55.765835,South America,56.0459,20.1,8.73,108.5,63.1,77.8,13.86,6.4,5.05,1.3299999999999998
Uzbekistan,33628940,41.377491,64.585262,Asia,57.9213,14.8,5.92,104.2,10.1,71.6,23.3,19.1,2.37,0.83
Vanuatu,305074,-15.376706,166.959158,Oceana,0.9171,17.8,4.39,109.3,4.7,70.3,29.6,22.3,0.17,0.0
Venezuela,28459050,6.42375,-66.58973,South America,482.3593,5.96,8.8,97.2,79.3,72.1,17.88,21.4,1.92,0.0
Vietnam,97082436,14.058324,108.277199,Asia,261.9212,19.1,2.01,110.6,28.5,75.3,16.75,16.5,0.82,0.0
Yemen,29636402,15.552727,48.516388,Asia,26.9144,9.58,12.91,93.6,10.2,66.1,30.45,42.9,0.31,29.12
Zambia,18235182,-13.133897,27.849332,Africa,23.0647,16.2,11.43,98.7,4.1,63.5,36.19,40.4,1.19,2.02
Zimbabwe,14800590,-19.015438,29.154857,Africa,21.4408,20.7,4.95,109.9,10.0,61.2,30.68,33.9,0.21,2.76
