country,birth_rt,fertility_rt,infant_mortality_rt,life_expectancy,physicians_per_thousand,lat,long,gross_domestic_product_usd(b),primary_education_enrollment_pct,secondary_education_enrollment_pct,tax_revenue_pct,unemployment_rt,continent,covid_cases,covid_deaths,average_population
Afghanistan,32.49,4.47,47.9,64.5,0.28,33.93911,67.709953,19.1014,104.0,9.7,9.3,11.12,Asia,46498.0,1774.0,38673974
Albania,11.78,1.62,7.8,78.5,1.2,41.153332,20.168331,15.2781,107.0,55.0,18.6,12.33,Europe,37625.0,798.0,2865340
Algeria,24.28,3.02,20.1,76.7,1.72,28.033886,1.659626,169.9882,109.9,51.4,37.2,11.7,Africa,83199.0,2431.0,43621542
Andorra,7.2,1.27,2.7,83.8,3.33,42.506285,1.521801,3.1541,106.4,97.5,69.0,3.7,Europe,6712.0,76.0,77230
Angola,40.73,5.52,51.6,60.8,0.21,-11.202692,17.873887,94.6354,113.5,9.3,9.2,6.89,Africa,15139.0,348.0,32569069
Antigua and Barbuda,15.33,1.99,5.0,76.9,2.76,17.060816,-61.796428,1.7278,105.0,24.8,16.5,11.0,The Caribean,0.0,0.0,97694
Argentina,17.02,2.26,8.8,76.5,3.96,-38.416097,-63.616672,449.6634,109.7,90.0,10.1,9.79,South America,1418807.0,38473.0,45154848
Armenia,13.99,1.76,11.0,74.9,4.4,40.069099,45.038189,13.6728,92.7,54.6,20.9,16.99,Asia,135124.0,2164.0,2961644
Australia,12.6,1.74,3.1,82.7,3.68,-25.274398,133.775136,1392.6806,100.3,113.1,23.0,5.27,Australia,27904.0,908.0,25695973
Austria,9.7,1.47,2.9,81.6,5.17,47.516231,14.550072,446.3147,103.1,85.1,25.4,4.67,Europe,278182.0,2904.0,8952532
Azerbaijan,14.0,1.73,19.2,72.9,3.45,40.143105,47.576927,39.207,99.7,27.7,13.0,5.51,Europe,118195.0,1361.0,10100550
Bahamas,13.97,1.75,8.3,73.8,1.94,25.03428,-77.39628,12.827,81.4,15.1,14.8,10.36,The Caribean,7517.0,163.0,392158
Bahrain,13.99,1.99,6.1,77.2,0.93,26.0667,50.5577,38.5741,99.4,50.5,4.2,0.71,Asia,86956.0,341.0,1614600
Bangladesh,18.18,2.04,25.1,72.3,0.58,23.684994,90.356331,302.5713,116.5,20.6,8.8,4.19,Asia,464932.0,6644.0,166347158
Barbados,10.65,1.62,11.3,79.1,2.48,13.193887,-59.543198,5.209,99.4,65.4,27.5,10.33,North America,276.0,7.0,287274
Belarus,9.9,1.45,2.6,74.2,5.19,53.709807,27.953389,63.0805,100.5,87.4,14.7,4.59,Europe,135008.0,1151.0,9457442
Belgium,10.3,1.62,2.9,81.6,3.07,50.503887,4.469936,529.6067,103.9,79.7,24.0,5.59,Europe,576503.0,16547.0,11547420
Belize,20.79,2.31,11.2,74.5,1.12,17.189877,-88.49765,1.8796,111.7,24.7,26.3,6.41,Central America,5743.0,147.0,395536
Benin,36.22,4.84,60.5,61.5,0.08,9.30769,2.315834,14.3907,122.0,12.3,10.8,2.23,Africa,3015.0,43.0,12031020
Bhutan,17.26,1.98,24.8,71.5,0.42,27.514162,90.433601,2.4467,100.1,15.6,16.0,2.34,Asia,410.0,0.0,751176
Bolivia,21.75,2.73,21.8,71.2,1.59,-16.290154,-63.588653,40.8953,98.2,91.5,17.0,3.5,South America,0.0,0.0,11626932
Bosnia and Herzegovina,8.11,1.27,5.0,77.3,2.16,43.915886,17.679076,20.0478,84.4,23.3,20.4,18.42,Europe,87374.0,2620.0,3286666
Botswana,24.82,2.87,30.0,69.3,0.37,-22.328474,24.684866,18.3405,103.2,24.9,19.5,18.19,Africa,9992.0,31.0,2359104
Brazil,13.92,1.73,12.8,75.7,2.15,-14.235004,-51.92528,1839.758,115.4,51.3,14.2,12.08,South America,6314740.0,172833.0,212877712
Brunei,14.9,1.85,9.8,75.7,1.61,4.535277,114.727669,13.4694,103.2,31.4,18.5,9.12,Asia,0.0,0.0,436268
Bulgaria,8.9,1.56,5.9,74.9,4.03,42.733883,25.48583,86.0,89.3,71.0,20.2,4.34,Europe,142486.0,3814.0,6951321
Burkina Faso,37.93,5.19,49.0,61.2,0.08,12.238333,-1.561593,15.7458,96.1,6.5,15.0,6.26,Africa,2886.0,68.0,20736852
Burundi,39.01,5.41,41.0,61.2,0.1,-3.373056,29.918886,3.0123,121.4,6.1,13.6,1.43,Africa,689.0,1.0,11787905
Ivory Coast,35.74,4.65,59.4,57.4,0.23,7.539989,-5.54708,58.7922,99.8,9.3,11.8,3.32,Africa,0.0,0.0,26188778
Cape Verde,19.49,2.27,16.7,72.8,0.77,16.5388,-23.0418,1.9818,104.0,23.6,20.1,12.25,Africa,64474.0,417.0,483628
Cambodia,22.46,2.5,24.0,69.6,0.17,12.565679,104.990963,27.0894,107.4,13.7,17.1,0.68,Asia,326.0,0.0,16651996
Cameroon,35.39,4.57,50.6,58.9,0.09,7.369722,12.354722,38.7605,103.4,12.8,12.8,3.38,Africa,24487.0,441.0,26354128
Canada,10.1,1.5,4.3,81.9,2.61,56.130366,-106.346771,1736.4256,100.9,68.9,12.8,5.56,North America,370278.0,12032.0,37436962
Central African Republic,35.35,4.72,84.5,52.8,0.06,6.611111,20.939444,2.2203,102.0,3.0,8.6,3.68,Africa,4918.0,63.0,4805444
Chad,42.17,5.75,71.4,54.0,0.04,15.454166,18.732207,11.315,86.8,3.3,13.08,1.89,Africa,1688.0,101.0,16288987
Chile,12.43,1.65,6.2,80.0,2.59,-35.675147,-71.542969,282.3182,101.4,88.5,18.2,7.09,South America,551743.0,15410.0,19068771
China,10.9,1.69,7.4,77.0,1.98,35.86166,104.195397,19910.0,100.2,50.6,9.4,4.32,Asia,93577.0,4750.0,1419684895
Colombia,14.88,1.81,12.2,77.1,2.18,4.570868,-74.297333,323.8028,114.5,55.3,14.4,9.71,South America,1308376.0,36584.0,50726056
Comoros,31.88,4.21,51.3,64.1,0.27,-11.6455,43.3333,1.1857,99.5,9.0,14.22,4.34,Africa,611.0,7.0,864231
Congo,32.86,4.43,36.2,64.3,0.12,-0.228021,15.827659,10.8206,106.6,12.7,9.0,9.47,Africa,5774.0,94.0,5478684
Costa Rica,13.97,1.75,7.6,80.1,2.89,9.748917,-83.753428,61.7739,113.3,55.2,13.6,11.85,North America,137093.0,1690.0,5080672
Croatia,9.0,1.47,4.0,78.1,3.0,45.1,15.2,60.4156,96.5,67.9,22.0,6.93,Europe,126612.0,1712.0,4081118
Cuba,10.17,1.62,3.7,78.7,8.42,21.521757,-77.781167,100.023,101.9,41.4,58.1,1.64,North America,8284.0,135.0,11328609
Cyprus,10.46,1.33,1.9,80.8,1.95,35.126413,33.429859,24.5646,99.3,75.9,24.5,7.27,Europe,10383.0,48.0,1204820
Czech Republic,10.7,1.69,2.7,79.0,4.12,49.817492,15.472962,246.4892,100.7,64.1,14.9,1.93,Europe,0.0,0.0,10693500
Congo,41.18,5.92,68.2,60.4,0.07,-4.038333,21.758664,47.3196,108.0,6.6,10.7,4.24,Africa,5774.0,94.0,46183714
Denmark,10.6,1.73,3.6,81.0,4.01,56.26392,9.501785,348.078,101.3,80.6,32.4,4.91,Europe,79352.0,829.0,5809654
Djibouti,21.47,2.73,49.8,66.6,0.22,11.825138,42.590275,3.3187,75.3,5.3,18.95,10.3,Africa,5679.0,61.0,983842
Dominica,12.0,1.9,32.9,76.6,1.08,15.414999,-61.370976,0.596,114.7,7.2,22.1,11.0,North America,85.0,0.0,71934
Dominican Republic,19.51,2.35,24.1,73.9,1.56,18.735693,-70.162651,88.9413,105.7,59.9,13.0,5.84,North America,143988.0,2331.0,10816488
Ecuador,19.72,2.43,12.2,76.8,2.04,-1.831239,-78.183406,107.4357,103.3,44.9,13.0,3.97,South America,192685.0,13461.0,17565513
Egypt,26.38,3.33,18.1,71.8,0.45,26.820553,30.802498,303.1751,106.3,35.2,12.5,10.76,Africa,115911.0,6650.0,101775306
El Salvador,18.25,2.04,11.8,73.1,1.57,13.794185,-88.89653,27.0226,94.8,29.4,18.1,4.11,Central America,38405.0,1114.0,6476756
Equatorial Guinea,33.24,4.51,62.6,58.4,0.4,1.650801,10.267895,11.0268,61.8,1.9,6.1,6.43,Africa,5153.0,85.0,1389590
Eritrea,30.3,4.06,31.3,65.9,0.06,15.179384,39.782334,2.065,68.4,3.4,34.9,5.14,Africa,577.0,0.0,4950229
Estonia,10.9,1.59,2.1,78.2,4.48,58.595272,25.013607,31.3869,97.2,69.6,20.9,5.11,Europe,12052.0,112.0,1329366
Eswatini,22.3,2.37,36.7,60.7,0.14,-26.522503,31.465866,3.7913,89.5,86.0,28.6,37.64,Africa,0.0,0.0,1129262
Ethiopia,32.34,4.25,39.1,66.2,0.08,9.145,40.489673,96.1077,101.0,8.1,7.5,2.08,Africa,110074.0,1706.0,114138109
Fiji,21.28,2.77,21.6,67.3,0.84,-17.713371,178.065032,5.5355,106.4,16.1,24.2,4.1,Oceana,42.0,2.0,894578
Finland,8.6,1.41,1.4,81.7,3.81,61.92411,25.748151,268.7612,100.2,88.2,20.8,6.59,Europe,24629.0,393.0,5532318
France,11.3,1.88,3.4,82.5,3.27,46.227638,2.213749,2715.5183,102.5,65.6,24.2,8.43,Europe,2179481.0,51965.0,66196946
Gabon,31.61,3.97,32.7,66.2,0.68,-0.803689,11.609444,16.658,139.9,8.3,10.2,20.0,Africa,9191.0,59.0,2210514
Gambia,38.54,5.22,39.0,61.7,0.1,13.443182,-15.310139,1.7638,98.0,2.7,9.4,9.06,Africa,3742.0,123.0,2396973
Georgia,13.47,2.06,8.7,73.6,7.12,42.315407,43.356892,17.7432,98.6,63.9,21.7,14.4,Europe,135584.0,1267.0,3853180
Germany,9.5,1.56,3.1,80.9,4.25,51.165691,10.451526,3845.63,104.0,70.2,11.5,3.04,Europe,1053869.0,16248.0,83514562
Ghana,29.41,3.87,34.9,63.8,0.14,7.946527,-1.023194,66.9836,104.8,15.7,12.6,4.33,Africa,51667.0,323.0,31072478
Greece,8.1,1.35,3.6,81.3,5.48,39.074208,21.824312,209.8528,99.6,136.6,26.2,17.24,Europe,104227.0,2321.0,10559136
Grenada,16.47,2.06,13.7,72.4,1.41,12.1165,-61.679,1.2282,106.9,104.6,19.4,24.0,North America,41.0,0.0,112372
Guatemala,24.56,2.87,22.1,74.1,0.35,15.783471,-90.230759,76.7104,101.9,21.8,10.6,2.46,North America,122062.0,4171.0,17330925
Guinea,36.36,4.7,64.9,61.2,0.08,9.945587,-9.696645,13.5903,91.5,11.6,10.8,4.3,Africa,13097.0,76.0,13029492
Guinea-Bissau,35.13,4.48,54.0,58.0,0.13,11.803749,-15.180413,1.3404,118.7,2.6,10.3,2.47,Africa,2422.0,43.0,1954523
Guyana,19.97,2.46,25.1,69.8,0.8,4.860416,-58.93018,4.2804,97.8,11.6,15.37,11.85,South America,5376.0,150.0,785457
Haiti,24.35,2.94,49.5,63.7,0.23,18.971187,-72.285215,8.499,113.6,1.1,6.24,13.78,North America,9294.0,233.0,11362356
Honduras,21.6,2.46,15.1,75.1,0.31,15.199999,-86.241905,25.0954,91.5,26.2,17.3,5.39,Central America,107888.0,2909.0,9859043
Hungary,9.6,1.54,3.6,75.8,3.41,47.162494,19.503304,160.9672,100.8,48.5,23.0,3.4,Europe,217122.0,4823.0,9710048
Iceland,12.0,1.71,1.5,82.7,4.08,64.963051,-19.020835,24.188,100.4,71.8,23.3,2.84,Europe,5381.0,26.0,351745
India,17.86,2.22,29.9,69.4,0.86,20.593684,78.96288,2611.0,113.0,28.1,11.2,5.36,Asia,9462809.0,137621.0,1376085842
Indonesia,18.07,2.31,21.1,71.5,0.43,-0.789275,113.921327,1119.1908,106.4,36.3,10.2,4.69,Asia,538883.0,16945.0,272477293
Iran,18.78,2.14,12.4,76.5,1.58,32.427908,53.688046,445.3453,110.7,68.1,7.4,11.38,Asia,0.0,0.0,83682240
Iraq,29.08,3.67,22.5,70.5,0.71,33.223191,43.679291,234.094,108.7,16.2,2.0,12.82,Asia,552549.0,12258.0,39961060
Ireland,12.5,1.75,3.1,82.3,3.31,53.41291,-8.24389,388.6987,100.9,77.8,18.3,4.93,Europe,72241.0,2052.0,4984138
Israel,20.8,3.09,3.0,82.8,4.62,31.046051,34.851612,395.0987,104.9,63.4,23.1,3.86,Asia,332192.0,2831.0,8883351
Italy,7.3,1.29,2.6,82.9,3.98,41.87194,12.56738,2001.2444,101.9,61.9,24.3,9.89,Europe,1585178.0,54904.0,60361087
Jamaica,16.1,1.98,12.4,74.4,1.31,18.109581,-77.297508,16.4581,91.0,27.1,26.8,8.0,The Caribean,10763.0,257.0,2957440
Japan,7.4,1.42,1.8,84.2,2.41,36.204824,138.252924,5081.7695,98.8,63.2,11.9,2.29,Asia,148694.0,2139.0,126271030
Jordan,21.98,2.76,13.9,74.4,2.32,30.585164,36.238414,43.7437,81.5,34.4,15.1,14.72,Asia,219430.0,2751.0,10173882
Kazakhstan,21.77,2.84,8.8,73.2,3.25,48.019573,66.923684,180.1617,104.4,61.7,11.7,4.59,Asia,173806.0,2477.0,18693066
Kenya,28.75,3.49,30.6,66.3,0.16,-0.023559,37.906193,95.5031,103.2,11.5,15.1,2.64,Africa,83618.0,1469.0,53428295
Kiribati,27.89,3.57,41.2,68.1,0.2,1.8368976,-157.3768317,0.1946,101.3,81.6,22.0,8.6,Oceana,0.0,0.0,118919
Kuwait,13.94,2.08,6.7,75.4,2.58,29.31166,47.481766,134.7612,92.4,54.4,1.4,2.18,Asia,142635.0,880.0,4252312
Kyrgyzstan,27.1,3.3,16.9,71.4,1.88,41.20438,74.766098,8.4546,107.6,41.3,18.0,6.33,Asia,72807.0,1271.0,6513636
Laos,23.55,2.67,37.6,67.6,0.37,19.85627,102.495496,18.1738,102.4,15.0,12.9,0.63,Asia,0.0,0.0,7245086
Latvia,10.0,1.6,3.3,74.7,3.19,56.879635,24.603189,34.1172,99.4,88.1,22.9,6.52,Europe,16975.0,197.0,1895200
Lebanon,17.55,2.09,6.4,78.9,2.1,33.854721,35.862285,53.367,95.1,26.3,15.3,6.23,Asia,127903.0,1018.0,6834225
